,AdaBoostClassifier,GradientBoostingClassifier,RandomForestClassifier,ExtraTreesClassifier,SupervisedDBNClassification,SVC,OrderedModel
17,0.6611111111111111,0.7055555555555556,0.7055555555555556,0.6944444444444444,0.36666666666666664,0.55,0.6777777777777778
18,0.6333333333333333,0.6833333333333333,0.6777777777777778,0.7222222222222222,0.36666666666666664,0.5888888888888889,0.6222222222222222
19,0.6555555555555556,0.7111111111111111,0.7333333333333333,0.7333333333333333,0.6333333333333333,0.4222222222222222,0.65
20,0.6222222222222222,0.6388888888888888,0.6833333333333333,0.6222222222222222,0.36666666666666664,0.5666666666666667,0.6666666666666666
21,0.6777777777777778,0.6944444444444444,0.6833333333333333,0.65,0.6333333333333333,0.5722222222222222,0.6222222222222222
22,0.65,0.7055555555555556,0.75,0.7222222222222222,0.6333333333333333,0.6055555555555555,0.6055555555555555
23,0.6722222222222223,0.7333333333333333,0.7111111111111111,0.7333333333333333,0.6333333333333333,0.5111111111111111,0.6333333333333333
24,0.6111111111111112,0.7222222222222222,0.6833333333333333,0.7222222222222222,0.6333333333333333,0.49444444444444446,0.6277777777777778
25,0.6833333333333333,0.7277777777777777,0.7166666666666667,0.7277777777777777,0.36666666666666664,0.5,0.65
26,0.65,0.7111111111111111,0.7,0.7,0.6333333333333333,0.5666666666666667,0.65
27,0.6666666666666666,0.6833333333333333,0.6833333333333333,0.7055555555555556,0.36666666666666664,0.5888888888888889,0.6333333333333333
28,0.6722222222222223,0.7055555555555556,0.7111111111111111,0.7055555555555556,0.6333333333333333,0.4,0.6777777777777778
29,0.6444444444444445,0.6888888888888889,0.7111111111111111,0.7444444444444445,0.36666666666666664,0.5888888888888889,0.6388888888888888
30,0.6611111111111111,0.7,0.7055555555555556,0.6777777777777778,0.6333333333333333,0.49444444444444446,0.6555555555555556
31,0.6333333333333333,0.6777777777777778,0.7388888888888889,0.7166666666666667,0.36666666666666664,0.5277777777777778,0.6666666666666666
32,0.6222222222222222,0.6944444444444444,0.7055555555555556,0.7055555555555556,0.36666666666666664,0.4777777777777778,0.6166666666666667
33,0.6555555555555556,0.7333333333333333,0.7166666666666667,0.7,0.36666666666666664,0.5444444444444444,0.6333333333333333
34,0.65,0.6388888888888888,0.6777777777777778,0.7388888888888889,0.6333333333333333,0.5722222222222222,0.6277777777777778
35,0.6555555555555556,0.6944444444444444,0.7222222222222222,0.7166666666666667,0.37222222222222223,0.4888888888888889,0.6777777777777778
36,0.6666666666666666,0.7222222222222222,0.7555555555555555,0.7444444444444445,0.6333333333333333,0.45555555555555555,0.6333333333333333
37,0.6,0.6777777777777778,0.7333333333333333,0.7444444444444445,0.6166666666666667,0.5055555555555555,0.6333333333333333
38,0.6388888888888888,0.7055555555555556,0.7388888888888889,0.6944444444444444,0.36666666666666664,0.5,0.6444444444444445
39,0.7,0.6555555555555556,0.7111111111111111,0.7111111111111111,0.36666666666666664,0.5944444444444444,0.6611111111111111
40,0.6555555555555556,0.6833333333333333,0.6944444444444444,0.6944444444444444,0.36666666666666664,0.5444444444444444,0.6888888888888889
41,0.5944444444444444,0.6888888888888889,0.6388888888888888,0.6666666666666666,0.6333333333333333,0.5,0.6611111111111111
